Month	Date	KualaLumpur	Johor	Penang
Mar	26	29.6	28.4	29.3
Mar	27	28.7	28.2	29.9
Mar	28	28.8	28.9	30.7
Mar	29	28.7	28.9	29.6
Mar	30	28.9	28.4	30.8
Mar	31	28.8	29.3	30.4
Apr	1	29.6	28.3	30.2
Apr	2	29.2	28.3	29.0
Apr	3	28.3	27.5	28.8
Apr	4	28.3	28.5	30.1
Apr	5	28.4	26.8	28.9
Apr	6	27.8	27.5	28.9
Apr	7	28.1	27.3	29.6
Apr	8	28.7	27.6	29.6
Apr	9	30.0	28.2	29.1
Apr	10	30.2	28.1	29.3
Apr	11	29.9	28.0	30.1
Apr	12	29.6	28.5	30.6
Apr	13	28.8	28.8	30.5
Apr	14	29.7	28.9	29.1
Apr	15	29.6	28.4	29.6
Apr	16	28.4	28.9	29.1
Apr	17	29.4	28.6	28.8
Apr	18	28.9	28.9	30.2
Apr	19	29.4	29.4	29.9
Apr	20	29.6	29.2	29.8
Apr	21	29.6	28.5	29.9
Apr	22	27.5	28.2	28.9
Apr	23	26.4	26.9	27.7
Apr	24	27.5	26.9	28.4
Apr	25	27.3	26.7	29.3
Apr	26	27.3	27.1	27.2
Apr	27	27.9	26.9	27.5
Apr	28	27.7	27.9	27.9
Apr	29	28.3	28.6	28.1
Apr	30	27.6	27.8	28.1
May	1	27.3	26.2	27.4
May	2	29.3	28.1	28.6
May	3	28.7	28.5	29.6
May	4	30.1	27.2	28.9
May	5	30.6	27.8	29.4
May	6	29.9	28.1	29.4
May	7	29.1	28.6	29.7
May	8	29.7	28.8	29.8
May	9	29.7	29.8	29.0
May	10	29.4	28.8	28.2
May	11	30.6	27.7	28.7
May	12	29.9	28.7	28.1
May	13	28.7	26.8	28.8
May	14	30.0	27.5	29.9
May	15	30.2	28.1	29.6
May	16	29.6	28.3	29.0
May	17	28.1	28.2	26.7
May	18	29.8	28.9	28.7
May	19	30.9	29.3	30.2
May	20	29.8	28.8	30.2
May	21	29.4	28.2	30.2
May	22	28.9	27.5	27.8
May	23	28.8	26.9	27.8
May	24	28.5	27.1	28.6
May	25	30.1	28.1	29.2
May	26	28.4	27.9	27.9
May	27	29.7	27.3	29.1
May	28	29.3	28.1	29.6
May	29	28.4	27.7	27.9
May	30	28.3	26.8	28.9
May	31	27.9	26.2	28.4
Jun	1	28.6	24.9	28.7
Jun	2	29.2	26.9	27.7
Jun	3	29.2	27.8	29.0
Jun	4	26.8	27.0	26.9
Jun	5	27.3	27.6	27.7
Jun	6	27.8	26.3	27.6
Jun	7	29.4	28.5	28.5
Jun	8	29.9	27.4	28.2
Jun	9	30.2	28.2	29.6
Jun	10	30.0	27.2	29.0
Jun	11	29.5	28.1	29.4
Jun	12	27.0	28.2	27.0
Jun	13	26.7	25.6	28.2
Jun	14	28.9	27.6	29.1
Jun	15	29.4	28.6	29.3
Jun	16	28.8	27.5	28.5
Jun	17	28.3	26.3	29.1
Jun	18	27.1	26.1	28.2
Jun	19	27.0	27.2	27.9
Jun	20	26.6	25.8	27.6
Jun	21	28.2	26.8	29.3
Jun	22	27.9	27.2	28.7
Jun	23	28.6	26.6	28.4
Jun	24	28.3	26.2	29.1
Jun	25	29.2	27.7	28.5
Jun	26	27.5	27.3	27.7
Jun	27	29.2	27.2	28.9
Jun	28	29.5	28.2	29.4
Jun	29	29.9	28.5	29.7
Jun	30	29.6	28.2	29.3
Jul	1	29.8	27.4	28.3
Jul	2	30.1	28.5	28.7
Jul	3	29.0	29.0	28.8
Jul	4	29.1	27.4	29.1
Jul	5	28.2	25.9	29.4
Jul	6	27.5	26.2	27.9
Jul	7	26.7	25.7	27.2
Jul	8	26.2	26.2	27.7
Jul	9	26.2	25.6	27.6
Jul	10	27.2	27.1	28.3
Jul	11	27.1	26.4	27.9
Jul	12	27.8	26.9	27.9
Jul	13	26.3	25.1	27.7
Jul	14	28.1	26.2	28.3
Jul	15	28.3	26.6	28.8
Jul	16	27.3	27.1	27.9
Jul	17	27.4	28.0	28.2
Jul	18	27.2	26.4	27.2
Jul	19	27.9	27.6	28.4
Jul	20	29.0	28.3	29.0
Jul	21	29.1	27.4	28.3
Jul	22	26.6	26.3	27.3
Jul	23	26.3	26.5	27.8
Jul	24	26.4	26.1	28.1
Jul	25	27.3	25.6	27.8
Jul	26	28.4	26.2	28.2
Jul	27	28.1	25.3	28.6
Jul	28	27.4	25.8	29.3
Jul	29	27.9	25.2	29.0
Jul	30	29.8	28.1	29.8
Jul	31	27.1	27.4	26.9
Aug	1	28.9	27.6	28.3
Aug	2	29.0	28.4	28.4
Aug	3	29.4	28.8	29.9
Aug	4	28.6	27.4	29.3
Aug	5	29.7	28.7	29.6
Aug	6	30.2	28.8	29.9
Aug	7	30.6	29.4	29.2
Aug	8	30.7	29.6	29.8
Aug	9	29.7	29.7	29.8
Aug	10	30.3	30.0	29.9
Aug	11	29.6	28.1	29.9
Aug	12	27.8	25.8	27.8
Aug	13	29.2	27.6	28.7
Aug	14	28.4	24.9	27.9
Aug	15	28.4	26.1	29.3
Aug	16	27.6	27.2	28.9
Aug	17	27.8	26.3	28.7
Aug	18	28.5	25.7	28.3
Aug	19	27.1	26.3	29.0
Aug	20	28.6	27.4	29.4
Aug	21	30.1	28.4	28.7
Aug	22	29.1	-13.7	28.7
Aug	23	28.6	24.3	29.4
Aug	24	29.2	26.9	29.0
Aug	25	29.1	26.9	28.8
Aug	26	28.3	27.1	28.9
Aug	27	28.9	26.3	28.7
Aug	28	29.5	27.1	29.1
Aug	29	28.9	25.8	29.2
Aug	30	28.3	27.1	28.2
Aug	31	28.8	27.9	28.7
Sep	1	29.1	26.9	29.3
Sep	2	28.3	26.2	29.5
Sep	3	26.9	26.3	29.0
Sep	4	25.9	25.4	26.9
Sep	5	27.4	24.4	28.1
Sep	6	28.8	25.1	28.1
Sep	7	28.0	26.4	28.4
Sep	8	28.9	26.4	28.9
Sep	9	27.4	26.8	28.1
Sep	10	26.5	26.7	27.9
Sep	11	27.4	27.6	26.9
Sep	12	27.7	25.4	27.3
Sep	13	27.3	24.7	26.3
Sep	14	26.7	25.2	27.3
Sep	15	28.2	27.4	27.6
Sep	16	27.9	26.2	28.3
Sep	17	29.0	27.7	28.6
Sep	18	29.4	28.0	26.5
Sep	19	28.5	28.4	27.7
Sep	20	28.1	27.4	28.2
Sep	21	26.8	25.9	28.9
Sep	22	27.5	26.5	27.4
Sep	23	26.2	27.6	28.4
Sep	24	28.2	27.8	26.9
Sep	25	27.6	27.3	27.1
Sep	26	26.9	26.3	26.3
Sep	27	27.3	26.1	27.2
Sep	28	29.4	27.6	27.4
Sep	29	28.2	27.0	27.9
Sep	30	29.1	26.9	28.2
Oct	1	27.2	26.4	28.6
Oct	2	25.8	27.1	25.9
Oct	3	27.8	27.8	26.7
Oct	4	28.8	28.1	27.9
Oct	5	28.5	28.1	27.4
Oct	6	28.2	27.9	28.5
Oct	7	26.3	27.4	25.7
Oct	8	27.8	27.4	27.2
Oct	9	28.7	28.0	27.4
Oct	10	28.3	27.8	27.7
Oct	11	27.5	27.3	27.9
Oct	12	28.9	28.4	27.1
Oct	13	28.9	28.4	25.6
Oct	14	28.2	28.1	27.8
Oct	15	28.7	28.4	28.6
Oct	16	29.6	28.8	27.9
Oct	17	30.1	28.8	29.1
Oct	18	30.0	27.1	28.5
Oct	19	29.6	28.4	29.4
Oct	20	28.8	26.7	28.8
Oct	21	28.3	28.2	28.6
Oct	22	27.2	28.1	26.7
Oct	23	28.7	27.9	28.1
Oct	24	28.9	27.6	27.7
Oct	25	28.1	27.5	26.8
Oct	26	28.0	27.3	26.3
Oct	27	29.2	28.4	27.7
Oct	28	29.8	27.6	28.6
Oct	29	28.2	27.3	28.3
Oct	30	29.9	28.6	28.8
Oct	31	28.4	26.8	28.9
Nov	1	27.4	27.0	27.2
Nov	2	27.7	26.2	27.1
Nov	3	27.8	26.3	26.7
Nov	4	27.3	24.7	27.1
Nov	5	27.6	27.3	27.9
Nov	6	27.5	27.9	27.9
Nov	7	27.9	25.1	28.0
Nov	8	28.6	25.6	28.4
Nov	9	28.0	26.5	26.8
Nov	10	27.7	26.5	27.9
Nov	11	28.5	27.3	27.9
Nov	12	29.6	28.2	28.2
Nov	13	29.0	28.2	28.2
Nov	14	28.8	27.1	28.3
Nov	15	28.2	27.0	27.8
Nov	16	27.6	27.2	27.9
Nov	17	27.3	24.2	27.6
Nov	18	27.3	24.4	25.0
